PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
7503811,DDIT3,TF,Liposarcoma cell,Cancer cell,Adipose,low-throughput,Western blot,Fusion of the dominant negative transcription regulator CHOP with a novel gene FUS by translocation t(12;16) in malignant liposarcoma,We show that the translocation in malignant myxoid liposarcoma can be a fusion of the CHOP dominant negative transcription factor gene with a novel gene.,FUS,
8782819,MITF,TF,Melanocytes cell,Cancer cell,Skin,low-throughput,Western blot,"Ectopic expression of MITF, a gene for Waardenburg syndrome type 2, converts fibroblasts to cells with melanocyte characteristics",ectopic expression of MITF converts NIH/3T3 fibroblasts into cells with characteristics of melanocytes.,,
11886515,MITF,TF,Melanocytes cell,Cancer cell,Nerve,low-throughput,RT-PCR;Western blot,Transcriptional Repression of the Microphthalmia Gene in Melanoma Cells Correlates With the Unresponsiveness of Target Genes to Ectopic Microphthalmia-Associated Transcription Factor,"The transcription of these marker genes [tyrosinase, tyrosinase-related proteins 1 and 2 (TRP-1 and TRP-2)] is believed to be regulated by the microphthalmia transcription factor, a member of the basic helix loop helix leucine zipper (bHLH-LZ) family.",,
12082635,BRCA1,TF,Breast cancer cell,Cancer cell,Breast,low-throughput,Luciferase assays;Weston blot;Microscopic observation;Immunohistochemistry;EMSA,BRCA1 transactivates the cyclin-dependent kinase inhibitor p27,The transcription factor BRCA1 activates the expression of P27 in breast cancer cells,IFI27,
12360049,PAX5,TF,B cell,Cancer cell,Lymph,low-throughput,Immunohistochemistry;Microscopic observation;Flow-throughput cytometry;Immunohistochemistry,The Value of anti-pax-5 Immunostaining in Routinely Fixed and Paraffin-Embedded Sections: A Novel Pan pre-B and B-cell Marker,Pax-5 upregulates CD19 and Ig (CD79a),CD79A;MS4A1;CD19,CL_0000236
14512183,MYBL2,TF,Nerve cell,Cancer cell,Lung,low-throughput,Western blot,Stimulation of the murineUchl1gene promoter bythe B-Myb transcription factor,It has been reported that human lung cancers frequently overexpress boththe ubiquitous cell cycle transcription factor B-MYB and the ubiquitin carboxyterminalhydrolase UCHL1.,UCHL1,CL_0002319
14534133,TFAP2A,TF,Nerve cell,Cancer cell,Nerve,low-throughput + high-throughput,Immunohistochemistry;Weston blot;Microscopic observation;RT-PCR;RNA-seq,lockjawencodes a zebrafish tfap2arequired for early neural crestdevelopment,"Low (allelic with montblanc)encodes a zebrafish TFAP2A,  one of a small family of transcription factorsimplicated in epidermal and  neural crest development.",HOXA2;DLX2,CL_0002319
14550747,AHR,TF,Epithelial cell,Cancer cell,Epidermis,low-throughput,Flow cytometry;;Weston blot,Alteration of keratinocyte differentiation and senescenceby the tumor promoter dioxin,"Many of the effects of dioxin are mediated by the aryl hydrocarbon receptor (AHR), aligand-activated bHLH (basic helix-loop-helix)/PAS transcription factor.",TP53;CDKN2A,CL_0000066
15252308,CDX2,TF,Sinonasal adenocarcinomas cell,Cancer cell,Respiratory tract,low-throughput,Immunohistochemistry;Microscopic observation,Immunophenotypic Differences Between Intestinal-type and Low-grade Papillary Sinonasal Adenocarcinomas,Antibodies to complete CDX2 protein have been demonstrated to be an extremely sensitive and highly specific marker of both primary and metastatic intestinal adenocarcinomas.,KRT20;KRT7,
15492262,PAX5,TF,B cell,Cancer cell,Lymph,low-throughput,Immunohistochemistry;RT-PCR;Weston blot;Microscopic observation,PAX5 Expression in Acute Leukemias: Higher B-Lineage Specificity Than CD79a and Selective Association with t(8;21)-Acute Myelogenous Leukemia,The transcription factor PAX5 plays a key role in the commitment of hematopoietic precursors to the B-cell lineage,CD79A,CL_0000236
15629370,CD40LG,TF,Mononuclear cell,Cancer cell,Blood,low-throughput,HC,CD40 Ligand Enhances Monocyte Tissue Factor Expression and Thrombin Generation Via Oxidative Stress in Patients With Hypercholesterolemia,"This study indicates that in patients with hypercholesterolemia, CD40L over-expresses TF and increases the thrombin generation rate by an oxidative stress-mediated mechanism that requires the activation of NADPH oxidase.",DECR1,CL_0000576
16049973,TBX3,TF,Ovarian and breast cancer cell,Cancer cell,Breast,low-throughput,Weston blot,"Increased expression of cSHMT, Tbx3 and utrophin in plasma of ovarian and breast cancer patients","Truncated forms of cytosolic serine hydroxymethyl transferase (CSHMT), T-box transcription factor 3(TBX3) and utrophin were aberrantly expressed in samples from cancer patients as compared to samples from noncancerous cases.",SHMT1,
16103077,HIF1A,TF,Stem cell,Cancer cell,Colon,low-throughput + high-throughput,Immunoblotting;Flow cytometry;Survival analysis,Reduced expression of hypoxia-inducible factor-1alpha in perinecrotic regions of solid tumors,"Hypoxia that develops in solid Cancer s stabilizes the hypoxiainducible factor-1A (HIF-1A) subunit of the HIF-1 transcription factor, leading to up-regulation of dozens of hypoxia-regulated genes that increase glycolysis and oxygen deLivery",CA9,CL_0000034
